,origin,hs07,year,export_val
0,abw,Animal & Animal Products,2008,6981302.370000001
1,abw,Animal & Animal Products,2009,1225602.05
2,abw,Animal & Animal Products,2010,275657.43000000005
3,abw,Animal & Animal Products,2011,1974721.64
4,abw,Animal & Animal Products,2012,2532047.2899999996
5,abw,Animal & Animal Products,2013,393237.79000000004
6,abw,Animal & Animal Products,2014,662943.15
7,abw,Animal & Animal Products,2015,604382.77
8,abw,Animal & Animal Products,2016,2528586.19
9,abw,Animal & Animal Products,2017,1589361.0599999998
10,abw,Chemicals & Allied Industries,2008,7523505.669999999
11,abw,Chemicals & Allied Industries,2009,20313258.45
12,abw,Chemicals & Allied Industries,2010,9782142.840000004
13,abw,Chemicals & Allied Industries,2011,8034281.209999999
14,abw,Chemicals & Allied Industries,2012,14735027.809999993
15,abw,Chemicals & Allied Industries,2013,9625643.450000001
16,abw,Chemicals & Allied Industries,2014,5435911.71
17,abw,Chemicals & Allied Industries,2015,12968130.1
18,abw,Chemicals & Allied Industries,2016,20323974.410000004
19,abw,Chemicals & Allied Industries,2017,6474939.95
20,abw,Foodstuffs,2008,3741330.6999999997
21,abw,Foodstuffs,2009,83989546.81
22,abw,Foodstuffs,2010,82630774.59
23,abw,Foodstuffs,2011,188241270.20000002
24,abw,Foodstuffs,2012,205254290.86
25,abw,Foodstuffs,2013,87811635.49000001
26,abw,Foodstuffs,2014,77347095.00999999
27,abw,Foodstuffs,2015,70932051.45
28,abw,Foodstuffs,2016,48089524.559999995
29,abw,Foodstuffs,2017,33281065.31
30,abw,Footwear / Headgear,2008,65972.0
31,abw,Footwear / Headgear,2009,325651.75
32,abw,Footwear / Headgear,2010,68543.0
33,abw,Footwear / Headgear,2011,424526.0
34,abw,Footwear / Headgear,2012,418883.0
35,abw,Footwear / Headgear,2013,278920.0
36,abw,Footwear / Headgear,2014,415430.0
37,abw,Footwear / Headgear,2015,644997.0
38,abw,Footwear / Headgear,2016,451749.9
39,abw,Footwear / Headgear,2017,71422.0
40,abw,Machinery / Electrical,2008,17201611.91
41,abw,Machinery / Electrical,2009,66528997.27000001
42,abw,Machinery / Electrical,2010,59362000.67999999
43,abw,Machinery / Electrical,2011,53588448.86999999
